UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
"24190701201","BHOJ KUMAR PRIMARY SCHOOL","VADODARA","BHOJ","Gujarat","Local body","Primary with Upper Primary","391445"
"24190701202","BHOJ KANYA PRIMARY SCHOOL","VADODARA","BHOJ","Gujarat","Local body","Primary with Upper Primary","391445"
"24190703501","GORIYAD PRIMARY SCHOOL","VADODARA","GORIYAD","Gujarat","Local body","Primary with Upper Primary","391440"
"24190701204","SHREE R.B. PATEL VIDHYALAYA- BHOJ","VADODARA","BHOJ","Gujarat","Government Aided","Secondary Only","391445"
"24190708003","RANU STATION PRIMARY SCHOOL","VADODARA","RANU","Gujarat","Local body","Primary","391445"
"24190204601","KARALI PURA PRIMARY SCHOOL","VADODARA","KARALI PURA","Gujarat","Local body","Primary","391110"
"24191100701","AALAMGIR PRI.SCH.","VADODARA","RABHIPURA","Gujarat","Local body","Primary","391240"
"24190704501","KARNAKUVA PRIMARY SCHOOL","VADODARA","KARNAKUVA","Gujarat","Local body","Primary with Upper Primary","391440"
"24190201805","VANADARA PRIMARY SCHOOL","VADODARA","BHILAPUR","Gujarat","Local body","Primary with Upper Primary","391107"
"24190709001","SEJA KUVA PRIMARY SCHOOL","VADODARA","SEJA KUVA","Gujarat","Local body","Primary","391440"
"24191303809","CHANAKIY PRI SCHOOL (ENG)","VADODARA","SAYAJIGUNJ 10, CHHANIROAD","Gujarat","Local body","Primary","390016"
"24190701405","PRAMUKH SWAMI VIDHYA MANDIR","VADODARA","CHANSAD","Gujarat","Government Aided","Secondary Only","391440"
"24190709002","C.K AMIN ANU. PRIMARY SCHOOL","VADODARA","SEJA KUVA","Gujarat","Government Aided","Upper Primary only","391440"
"24190701205","PRAGTI VIDHYALAY BHOJ","VADODARA","BHOJ","Gujarat","Private Unaided (Recognized)","Primary","391445"
"24190207101","NARANPURA PRIMARY SCHOOL","VADODARA","NARANPURA","Gujarat","Local body","Primary","391110"
"24190707701","PIPLI PRIMARY SCHOOL","VADODARA","PIPLI","Gujarat","Local body","Primary with Upper Primary","391445"
"24190204103","N V  KADADHARAPURA  PRIMARY SCHOOL","VADODARA","KADADHARA","Gujarat","Local body","Primary","391107"
"24190700301","AANDHARIPURA PRIMARY SCHOOL","VADODARA","VADU","Gujarat","Local body","Primary","391460"
"24190709006","THE ELIGHT HIGH SCHOOL","VADODARA","SEJA KUVA","Gujarat","Government Aided","Secondary with Higher Secondary","391440"
"24190204101","KADADHARA PRIMARY SCHOOL","VADODARA","KADADHARA","Gujarat","Local body","Primary with Upper Primary","391107"
"24190705901","MAJATAN PRIMARY SCHOOL","VADODARA","MAJATAN","Gujarat","Local body","Primary with Upper Primary","391450"
"24190205407","SHREE MAHATMA GANDHI SARVA VIDYALAYA","VADODARA","KUNDHELA","Gujarat","Government Aided","Secondary Only","391107"
"24190210602","VAYADPURA N.V. PRI. SCHOOL","VADODARA","VAYADPURA","Gujarat","Local body","Primary","391107"
"24190711105","PARTH VIDHYALAYA","VADODARA","VADU","Gujarat","Private Unaided (Recognized)","Primary","391440"
"24191107001","KHALIPUR PRI.SCH.","VADODARA","KHALIPUR","Gujarat","Local body","Primary","391240"
